Rank,Title,Score,Format,Date,Studio,Genres,Source,Rating,Recommendation
28,Shingeki no Kyojin Season 3,8.63,TV (12 eps),Jul 2018 - Oct 2018,Wit Studio,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'Super Power', 'Shounen']",Manga,R - 17+ (violence & profanity),Shinsekai yori
29,Boku dake ga Inai Machi,8.33,TV (12 eps),Jan 2016 - Mar 2016,A-1 Pictures,"['Mystery', 'Supernatural', 'Psychological', 'Seinen']",Manga,R - 17+ (violence & profanity),Steins;Gate
30,One Piece,8.59,TV (? eps),Oct 1999 -,Toei Animation,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Fairy Tail
31,Sword Art Online II,6.72,TV (24 eps),Jul 2014 - Dec 2014,A-1 Pictures,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Game']",Light novel,PG-13 - Teens 13 or older,Log Horizon 2nd Season
32,Ao no Exorcist,7.54,TV (25 eps),Apr 2011 - Oct 2011,A-1 Pictures,"['Action', 'Fantasy', 'Supernatural', 'Demons', 'Shounen']",Manga,PG-13 - Teens 13 or older,Soul Eater
33,Ansatsu Kyoushitsu,8.11,TV (22 eps),Jan 2015 - Jun 2015,Lerche,"['Action', 'Comedy', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,Great Teacher Onizuka
34,Shingeki no Kyojin Season 3 Part 2,9.10,TV (10 eps),Apr 2019 - Jul 2019,Wit Studio,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'Super Power', 'Shounen']",Manga,R - 17+ (violence & profanity),Koutetsujou no Kabaneri
35,Kono Subarashii Sekai ni Shukufuku wo!,8.14,TV (10 eps),Jan 2016 - Mar 2016,Studio Deen,"['Adventure', 'Comedy', 'Fantasy', 'Supernatural', 'Parody']",Light novel,PG-13 - Teens 13 or older,Re:Zero kara Hajimeru Isekai Seikatsu
36,Mob Psycho 100,8.48,TV (12 eps),Jul 2016 - Sep 2016,Bones,"['Action', 'Comedy', 'Slice of Life', 'Supernatural']",Web manga,PG-13 - Teens 13 or older,One Punch Man
37,Haikyuu!!,8.47,TV (25 eps),Apr 2014 - Sep 2014,Production I.G,"['Comedy', 'Drama', 'Sports', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,Kuroko no Basket
38,Bleach,7.81,TV (366 eps),Oct 2004 - Mar 2012,Studio Pierrot,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Yuu☆Yuu☆Hakusho
39,Yakusoku no Neverland,8.58,TV (12 eps),Jan 2019 - Mar 2019,CloverWorks,"['Horror', 'Mystery', 'Sci-Fi', 'Suspense', 'Psychological', 'Shounen']",Manga,R - 17+ (violence & profanity),Shingeki no Kyojin
40,Fairy Tail,7.61,TV (175 eps),Oct 2009 - Mar 2013,A-1 Pictures,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen']",Manga,PG-13 - Teens 13 or older,One Piece
41,Kiseijuu: Sei no Kakuritsu,8.37,TV (24 eps),Oct 2014 - Mar 2015,Madhouse,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Psychological', 'Seinen']",Manga,R - 17+ (violence & profanity),Tokyo Ghoul
42,Sen to Chihiro no Kamikakushi,8.80,Movie (1 eps),Jul 2001 - Jul 2001,Studio Ghibli,"['Adventure', 'Drama', 'Supernatural']",Original,PG - Children,Howl no Ugoku Shiro
43,Tokyo Ghoul √A,7.04,TV (12 eps),Jan 2015 - Mar 2015,Studio Pierrot,"['Action', 'Drama', 'Horror', 'Mystery', 'Supernatural', 'Psychological', 'Seinen']",Manga,R - 17+ (violence & profanity),Kiseijuu: Sei no Kakuritsu
44,Cowboy Bebop,8.77,TV (26 eps),Apr 1998 - Apr 1999,Sunrise,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",Original,R - 17+ (violence & profanity),Samurai Champloo
45,Code Geass: Hangyaku no Lelouch R2,8.91,TV (25 eps),Apr 2008 - Sep 2008,Sunrise,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Super Power']",Original,R - 17+ (violence & profanity),Death Note
46,Jujutsu Kaisen (TV),8.74,TV (24 eps),Oct 2020 - Mar 2021,MAPPA,"['Action', 'Supernatural', 'Demons', 'School', 'Shounen']",Manga,R - 17+ (violence & profanity),Kimetsu no Yaiba
47,Kill la Kill,8.07,TV (24 eps),Oct 2013 - Mar 2014,Trigger,"['Action', 'Comedy', 'Ecchi', 'School', 'Super Power']",Original,PG-13 - Teens 13 or older,Tengen Toppa Gurren Lagann
48,Death Parade,8.18,TV (12 eps),Jan 2015 - Mar 2015,Madhouse,"['Drama', 'Mystery', 'Suspense', 'Game', 'Psychological']",Original,R - 17+ (violence & profanity),Death Note
